
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-05-13 01:02:55 ........................................................................................... ~ 0s
  2026-05-13 01:02:55 ........................................................................................... ~ 0s
  2026-05-13 01:02:55 ........................................................................................... ~ 0s
  2026-05-13 01:02:55 ........................................................................................... ~ 0s
  2026-05-13 01:02:55 ........................................................................................... ~ 0s
  2026-05-13 01:02:55 ........................................................................................... ~ 0s
  2026-05-13 01:02:55 ........................................................................................... ~ 0s
  2026-05-13 01:02:55 ........................................................................................... ~ 0s
  2026-05-13 01:02:55 ........................................................................................... ~ 0s
  2026-05-13 01:02:55 ........................................................................................... ~ 1s
  2026-05-13 01:02:56 ........................................................................................... ~ 0s
  2026-05-13 01:02:56 ........................................................................................... ~ 0s
  2026-05-13 01:02:56 ........................................................................................... ~ 0s
  2026-05-13 01:02:56 ........................................................................................... ~ 0s
  2026-05-13 01:02:56 ........................................................................................... ~ 0s
  2026-05-13 01:02:56 ........................................................................................... ~ 0s
  2026-05-13 01:02:56 ........................................................................................... ~ 0s
  2026-05-13 01:02:56 ........................................................................................... ~ 0s
  2026-05-13 01:02:57 ........................................................................................... ~ 0s
  2026-05-13 01:02:57 ........................................................................................... ~ 0s
  2026-05-13 01:02:57 ........................................................................................... ~ 0s
  2026-05-13 01:02:57 ........................................................................................... ~ 0s
  2026-05-13 01:02:57 ........................................................................................... ~ 0s
  2026-05-13 01:02:57 ........................................................................................... ~ 0s
  2026-05-13 01:02:57 ........................................................................................... ~ 0s
  2026-05-13 01:02:57 ........................................................................................... ~ 0s
  2026-05-13 01:02:57 ........................................................................................... ~ 0s
  2026-05-13 01:02:58 ........................................................................................... ~ 0s
  2026-05-13 01:02:58 ........................................................................................... ~ 0s
  2026-05-13 01:02:58 ........................................................................................... ~ 0s
  2026-05-13 01:02:58 ........................................................................................... ~ 0s
  2026-05-13 01:02:58 ........................................................................................... ~ 0s
  2026-05-13 01:02:58 ........................................................................................... ~ 0s
  2026-05-13 01:02:58 ........................................................................................... ~ 0s
  2026-05-13 01:02:58 ........................................................................................... ~ 0s
  2026-05-13 01:02:58 ........................................................................................... ~ 0s
  2026-05-13 01:02:59 ........................................................................................... ~ 0s
  2026-05-13 01:02:59 ........................................................................................... ~ 0s
  2026-05-13 01:02:59 ........................................................................................... ~ 0s
  2026-05-13 01:02:59 ........................................................................................... ~ 0s
  2026-05-13 01:02:59 ........................................................................................... ~ 0s
  2026-05-13 01:02:59 ........................................................................................... ~ 0s
  2026-05-13 01:03:00 ........................................................................................... ~ 0s
